EmployeeID,Age,AvgDailyHours,Education,EducationField,Gender,WFH Setup Available,IsIndividualContributor,JobInvolvement,JobRole,MaritalStatus,Resource Allocation,MonthlyIncome,PercentSalaryHike,PerformanceRating,RemoteWorkSatistfaction,TotalWorkingYears,WorkLifeBalance,WorkLoadLevel,YearsAtCompany,Mental Fatigue Score,Burn Rate,Designation,HasFlexibleTimings,Company Type
100024,19,6.1,3,Human Resources,Male,Yes,Yes,1,Research Scientist,Divorced,,25000,10,3,Very High,0,1,Low,0,7.7,0.61,3,No,Product
100025,52,7.42,1,Human Resources,Female,No,Yes,1,Research Director,Single,8,16667,18,4,Very High,1,4,Low,1,,0.91,3,No,Service
100026,53,7.27,3,Life Sciences,Female,Yes,No,2,Sales Representative,Single,,483333,7,2,Medium,27,3,Low,9,5.8,0.4,3,Yes,Service
100027,39,7.82,4,Human Resources,Female,No,Yes,2,Manufacturing Director,Single,4,183333,9,2,Low,13,3,High,5,6.6,0.44,2,No,Service
100028,27,7.51,4,Marketing,Male,No,Yes,3,Manager,Divorced,4,58333,25,4,High,2,4,Low,2,7.4,0.6,2,Yes,Service
100029,51,6.92,3,Other,Male,No,Yes,1,Sales Representative,Single,5,250000,17,1,Very High,19,1,Low,14,6.7,0.46,2,No,Service
100030,37,10.29,1,Life Sciences,Female,Yes,No,4,Sales Executive,Divorced,4,225000,22,3,Very High,8,3,High,4,,0.45,2,Yes,Service
100031,51,10.1,4,Life Sciences,Male,Yes,No,4,Research Director,Divorced,2,241667,11,2,Very Low,10,3,High,1,3.6,0.2,1,No,Product
100032,56,9.96,4,Other,Female,Yes,Yes,4,Research Director,Divorced,2,258333,7,1,Very Low,18,1,High,8,3.9,0.2,1,No,Service
100033,31,7.11,3,Human Resources,Male,No,No,1,Manufacturing Director,Divorced,1,133333,17,1,High,5,2,High,4,3,0.19,0,Yes,Service
100034,51,10.01,1,Technical Degree,Female,No,No,1,Research Scientist,Divorced,3,466667,23,4,Very Low,24,3,High,18,4.7,0.31,1,Yes,Service
100035,30,10.68,5,Other,Female,No,Yes,1,Research Director,Single,8,108333,13,3,Low,8,1,Medium,5,8.7,0.81,4,No,Product
100036,24,6.96,4,Medical,Female,Yes,No,4,Sales Executive,Married,5,75000,22,3,Medium,3,1,Low,1,4.4,0.39,3,No,Service
100037,43,18.18,3,Medical,Male,Yes,No,3,Sales Executive,Divorced,6,325000,11,4,Very Low,18,2,Low,11,5.8,0.42,3,No,Service
100038,18,6.22,3,Life Sciences,Female,Yes,No,3,Human Resources,Single,2,16667,22,3,Very High,0,4,Medium,0,3.9,0.19,0,No,Product
100039,46,10.5,1,Technical Degree,Male,Yes,Yes,4,Manufacturing Director,Married,7,341667,8,1,Medium,25,1,Low,10,6.6,0.56,3,Yes,Service
100040,24,7.39,5,Other,Female,No,Yes,3,Human Resources,Single,7,16667,24,4,High,1,3,High,1,7.3,0.53,4,No,Service
100041,50,6.39,2,Life Sciences,Female,Yes,No,1,Manager,Married,5,75000,9,3,High,3,4,High,2,,0.5,3,No,Service
100042,32,7.66,3,Marketing,Male,Yes,Yes,3,Research Director,Single,3,33333,15,4,Very High,0,3,Low,0,5.4,0.33,1,No,Product
100043,33,7.64,2,Medical,Female,No,No,2,Research Director,Married,5,50000,14,2,Very Low,3,4,Medium,0,5,0.45,2,Yes,Service
100044,32,8.4,2,Technical Degree,Male,Yes,Yes,4,Research Director,Divorced,3,216667,9,3,Very High,10,2,Low,7,6,0.36,2,No,Service
100045,34,10.98,1,Life Sciences,Female,Yes,Yes,3,Healthcare Representative,Married,6,233333,7,4,High,8,2,Low,7,7.5,0.59,3,Yes,Service
100046,38,9.13,5,Medical,Female,Yes,Yes,3,Manager,Single,3,66667,15,4,Low,5,2,High,1,,,2,No,Service
100047,56,6.49,5,Human Resources,Female,No,Yes,1,Research Director,Single,10,208333,19,1,Medium,9,3,Low,0,10,0.94,4,No,Service
100048,23,8.88,4,Other,Female,Yes,No,2,Healthcare Representative,Single,6,1051,22,1,Very High,0,1,Low,0,,,3,No,Product
100049,44,6.32,4,Technical Degree,Male,No,No,2,Manager,Married,,75000,22,4,Low,5,1,High,,7.7,0.61,3,No,Product
100050,32,6.52,3,Life Sciences,Female,Yes,No,3,Sales Representative,Divorced,3,125000,8,4,Very High,8,3,Low,5,6,0.37,1,No,Product
100051,36,7.77,2,Medical,Female,No,Yes,4,Healthcare Representative,Divorced,6,150000,17,2,Very High,8,2,Low,7,7.4,0.65,2,No,Service
100052,46,9.08,4,Marketing,Female,Yes,No,3,Laboratory Technician,Single,5,500000,11,4,Medium,24,1,Medium,5,6.4,0.49,2,Yes,Service
100053,32,7.19,1,Other,Male,No,No,2,Laboratory Technician,Single,2,91667,25,4,Low,5,3,Medium,3,5.1,,1,No,Service
100054,29,6.68,4,Life Sciences,Male,Yes,,4,Manufacturing Director,Divorced,3,25000,22,4,Very High,0,3,High,0,5.6,0.38,1,No,Service
100055,36,7.39,1,Life Sciences,Male,No,Yes,3,Sales Executive,Single,5,200000,21,4,Very High,12,4,High,6,7.4,0.62,2,No,Product
100056,18,7.41,3,Technical Degree,Male,Yes,Yes,3,,Married,5,16667,15,1,High,0,1,High,0,6.1,0.39,3,Yes,Product
100057,45,7.4,2,Technical Degree,Female,Yes,No,3,Research Director,Married,4,100000,14,2,Very Low,5,3,Low,1,3.1,0.15,2,Yes,Product
100058,58,6.29,2,Life Sciences,Female,No,Yes,3,Sales Executive,Married,5,33333,17,4,Low,2,4,Medium,1,8,0.61,2,No,Service
100059,34,8.1,5,Medical,Female,No,Yes,3,Sales Executive,Married,2,133333,7,2,Medium,5,1,Medium,4,4,0.26,1,Yes,Product
100060,28,6.25,1,Life Sciences,Male,No,No,1,Manager,Married,2,91667,21,3,Very Low,4,1,Low,0,3.6,0.28,2,No,Service
100061,25,18.04,3,Technical Degree,Male,Yes,Yes,3,Research Director,Married,5,100000,9,3,Very Low,4,4,High,3,8.7,0.71,2,Yes,Product
100062,56,5.98,2,Technical Degree,Male,No,Yes,4,Research Scientist,Single,,225000,18,1,High,16,3,Low,15,8,0.68,3,Yes,Product
100063,,6.99,2,Medical,Female,No,No,3,Laboratory Technician,Single,5,41667,10,2,High,3,3,High,0,6.8,0.57,3,No,Service
100064,46,6.99,1,Medical,Male,Yes,Yes,4,Human Resources,Divorced,3,275000,8,4,Low,22,4,Low,11,4.9,0.39,2,Yes,Service
100065,40,7.38,1,Other,Female,No,No,2,Manager,Married,6,141667,23,4,High,5,4,Medium,1,7.9,0.61,3,No,Product
100066,28,10.32,5,Life Sciences,Male,No,No,4,Sales Representative,Married,6,16667,7,1,High,1,2,Medium,1,7.6,0.62,3,No,Product
100067,31,9.4,5,Marketing,Female,No,No,2,,Divorced,9,166667,20,1,Very High,10,3,Medium,4,9.2,0.8,5,No,Service
100068,54,9.29,5,Other,Female,Yes,Yes,2,Healthcare Representative,Divorced,6,175000,22,3,Low,10,3,Medium,2,6.5,0.63,4,No,Service
100069,37,7.9,1,Marketing,Female,No,No,4,Research Scientist,Married,5,175000,15,1,High,12,1,High,0,6.8,0.6,3,No,Service
100070,59,7.08,4,Life Sciences,Male,No,Yes,3,Research Scientist,Divorced,8,308333,17,2,Very High,15,1,Medium,7,8.7,0.79,4,No,Product
100071,31,2.08,5,Other,Female,Yes,No,3,Research Director,Divorced,5,225000,23,3,Very High,8,4,Low,7,6.2,0.39,2,No,Service
100072,34,6.51,1,Life Sciences,Male,No,Yes,2,Laboratory Technician,Divorced,5,33333,7,1,Low,2,1,High,1,5.8,0.36,3,No,Service
100073,49,6.28,1,Technical Degree,Female,No,Yes,4,Manager,Married,4,75000,15,2,Low,3,2,Medium,3,6.6,0.5,2,No,Product
100074,48,6.48,2,Marketing,Female,No,No,2,Human Resources,Divorced,7,375000,24,1,Very High,23,1,High,,8.2,0.72,4,Yes,Product
100075,46,7.93,4,Human Resources,Male,Yes,Yes,4,Sales Executive,Married,3,275000,16,1,Very High,,4,High,13,4.9,0.34,2,Yes,Service
100076,59,9.18,2,Technical Degree,Male,No,No,1,Laboratory Technician,Single,2,250000,9,2,Medium,10,3,High,1,4.1,0.27,1,No,Service
100077,34,6.31,3,Human Resources,Female,No,Yes,4,Sales Executive,Married,7,116667,14,3,Very Low,5,4,High,1,7.4,0.66,3,No,Service
100078,43,9.92,4,Life Sciences,Male,Yes,Yes,3,Sales Representative,Married,1,241667,14,1,Low,14,1,Medium,2,,0.04,0,No,Product
100079,23,7.9,1,Marketing,Female,Yes,No,3,Healthcare Representative,Divorced,2,33333,19,4,Low,0,3,High,0,4.4,0.27,1,Yes,Service
100080,30,7.79,5,Other,Male,No,Yes,1,Research Scientist,Single,6,125000,17,1,High,6,4,Medium,,6.9,0.67,2,No,Service
100081,23,6.73,3,Technical Degree,Male,Yes,Yes,4,Sales Representative,Single,2,58333,16,2,Very Low,2,4,Low,1,5.3,0.38,1,Yes,Product
100082,33,9.36,4,Life Sciences,Female,Yes,Yes,2,Research Scientist,Divorced,2,258333,21,1,Very High,10,1,Low,1,4.3,0.28,2,No,Service
100083,18,8.52,5,Human Resources,Female,Yes,Yes,3,Sales Executive,Divorced,1,16667,10,3,High,0,4,High,0,0.8,0.05,0,No,Product
100084,22,7.3,4,Life Sciences,Male,Yes,No,2,Research Director,Divorced,4,16667,7,2,High,1,3,Medium,0,2.9,0.22,2,Yes,Service
100085,52,18.08,5,Other,Male,Yes,No,3,Manufacturing Director,Single,3,216667,13,1,Very Low,8,1,Medium,8,5,0.39,1,No,Service
100086,59,7.59,5,Life Sciences,Female,Yes,Yes,4,Healthcare Representative,Divorced,4,141667,25,3,Very High,11,2,High,1,6.9,0.52,1,Yes,Service
100087,51,2.15,5,Technical Degree,Male,No,No,4,Research Director,Divorced,5,225000,8,2,Low,15,4,High,8,4.7,0.39,3,No,Service
100088,35,10.55,1,Human Resources,Female,No,Yes,2,Laboratory Technician,Divorced,3,250000,14,4,Low,10,3,Low,3,2,0.11,1,No,Service
100089,21,7.92,1,Other,Male,No,No,3,Research Scientist,Single,4,58333,23,4,Very Low,3,1,High,3,5.4,0.44,2,Yes,Service
100090,24,6.04,1,Human Resources,Female,No,No,3,Research Director,Single,5,83333,19,2,Very Low,3,4,High,2,6.1,0.5,2,Yes,Product
100091,59,7.77,1,Other,Female,Yes,Yes,2,Healthcare Representative,Married,4,6166670,13,3,Very High,37,3,Low,0,5.1,0.41,1,No,Product
100092,26,6.5,1,Medical,Female,Yes,No,1,Human Resources,Single,2,108333,13,4,Very High,4,3,Medium,1,3.8,,1,No,Service
100093,52,7.69,1,Medical,Female,No,Yes,3,Research Director,Divorced,9,158333,21,1,Medium,12,3,Medium,5,,0.76,4,Yes,Product
100094,46,7.99,5,Medical,Male,Yes,No,4,Research Scientist,Married,5,83333,19,2,Very High,6,3,Low,6,4.7,0.43,3,No,Service
100095,48,10.69,1,Marketing,Female,Yes,Yes,2,Manager,Married,5,383333,13,4,Very High,25,1,High,8,5.4,0.46,3,No,Service
100096,19,8.14,3,Technical Degree,Female,No,Yes,1,Research Director,Married,7,25000,25,2,High,1,1,Medium,1,9.1,0.85,4,Yes,Service
100097,45,8.8,2,Other,Female,Yes,No,1,Research Director,Single,3,316667,19,3,Medium,16,2,Medium,1,5,0.35,1,Yes,Service
100098,23,5.97,5,Other,Male,No,No,2,Healthcare Representative,Married,1,58333,14,4,Medium,2,4,High,0,0,0,1,Yes,Product
100099,38,18.17,5,Life Sciences,Female,Yes,Yes,4,Healthcare Representative,Married,4,350000,16,4,Very High,17,2,Low,12,4.3,0.34,2,No,Product
100100,18,10.38,5,Other,Male,Yes,No,3,Sales Executive,Married,,25000,15,3,Medium,0,3,Low,0,6.7,0.44,2,Yes,Service
100101,,7.1,3,Medical,Female,No,No,3,Healthcare Representative,Single,5,25000,7,3,Medium,1,3,High,1,5.7,0.55,2,Yes,Product
100102,34,6.28,3,Technical Degree,Female,Yes,No,4,Research Scientist,Divorced,6,50000,17,2,Medium,2,3,Medium,0,6.8,0.62,4,No,Service
100103,46,9.98,3,Life Sciences,Female,No,Yes,3,Sales Executive,Single,6,433333,21,3,High,22,1,Low,8,7.6,0.72,3,Yes,Service
100104,42,7.22,4,Human Resources,Female,Yes,No,1,Human Resources,Married,8,158333,17,2,Medium,11,4,Medium,9,8.3,0.71,3,Yes,Product
100105,43,9.32,5,Human Resources,Male,No,No,1,Human Resources,Married,3,16667,17,2,Very Low,1,2,Medium,1,5.5,0.39,1,No,Product
100106,,8.42,3,Life Sciences,Female,No,Yes,3,Manufacturing Director,Divorced,3,491667,14,1,Medium,31,1,Low,30,5.3,0.48,1,No,Service
100107,40,6.49,1,Technical Degree,Male,No,No,2,Laboratory Technician,Single,7,250000,9,1,Medium,14,3,Low,9,8,0.7,3,No,Service
100108,52,10.49,5,Human Resources,,Yes,Yes,1,Manufacturing Director,Married,6,258333,17,3,Very High,18,3,Low,5,6.4,0.56,4,No,Service
100109,27,6.41,4,Other,Female,Yes,,2,Research Director,Married,3,108333,8,1,Low,5,3,Medium,1,3.6,0.27,1,Yes,Service
100110,43,6.62,1,Other,,Yes,Yes,3,Research Director,Married,5,133333,24,1,Medium,7,2,High,6,7,0.66,2,No,Product
100111,23,7.82,3,Other,Female,No,Yes,2,Manufacturing Director,Married,7,33333,7,3,Medium,0,2,High,0,7.6,0.56,3,No,Product
100112,36,7.3,5,Other,Female,No,No,3,Research Scientist,Married,5,200000,24,4,Low,12,4,Low,10,8.7,0.79,2,No,Service
100113,20,6.79,5,Marketing,Male,Yes,Yes,4,Research Director,Divorced,1,16667,20,4,Very Low,1,3,Low,1,2.6,0.18,0,No,Product
100114,42,7.71,1,Life Sciences,Female,Yes,Yes,4,Manager,Married,4,350000,9,1,Medium,18,2,High,1,4.7,0.33,2,No,Service
100115,54,7.52,2,Life Sciences,Female,Yes,No,1,Research Director,Divorced,4,175000,22,2,Very High,11,2,High,11,6.4,0.4,2,No,Service
100116,49,6.33,3,Marketing,,No,No,2,Laboratory Technician,Divorced,5,433333,21,1,High,22,4,Medium,15,5.8,0.39,2,No,Service
100117,40,9.29,1,Medical,Female,No,No,1,Research Scientist,Married,1,241667,8,3,Very High,13,1,Low,2,3.3,0.23,1,Yes,Service
100118,41,8.13,5,Life Sciences,Female,Yes,Yes,2,Manufacturing Director,Single,4,241667,20,3,Very High,16,4,Medium,0,5.9,0.45,2,No,Product
100119,22,7.39,3,Technical Degree,Female,No,Yes,1,Laboratory Technician,Married,,25000,24,1,Very Low,1,3,High,0,7.8,0.67,2,No,Product
100120,40,6.2,4,Technical Degree,Female,Yes,No,4,Research Scientist,Single,3,308333,10,2,High,17,4,Medium,9,7,0.52,1,No,Product
100121,38,8.16,3,Technical Degree,Male,No,Yes,4,Sales Representative,Divorced,7,208333,22,2,High,14,2,High,8,7.2,0.6,4,No,Service
100122,41,7.59,2,Medical,Female,Yes,No,3,Sales Representative,Single,7,258333,12,2,Very Low,17,3,Low,11,7.9,0.59,3,No,Service
100123,,9.5,5,Marketing,Female,No,Yes,3,Laboratory Technician,Single,5,100000,16,2,Medium,4,2,Low,1,,,3,Yes,Product
100124,37,6.07,4,Life Sciences,Male,Yes,No,2,Laboratory Technician,Divorced,3,1070,23,4,Very High,0,3,High,0,5.9,0.36,1,Yes,Service
100125,31,10.38,3,Technical Degree,Male,No,No,3,Sales Executive,Divorced,3,8333,23,2,Medium,0,4,Low,0,4.4,0.29,1,Yes,Service
100126,52,10.51,5,Technical Degree,Female,Yes,No,2,Research Director,Single,5,308333,12,1,Very High,18,2,Medium,14,5.2,0.34,2,Yes,Service
100127,53,7.29,4,Medical,Female,Yes,No,1,Sales Executive,Married,4,316667,14,4,Very High,23,2,High,15,5.3,0.34,2,No,Product
100128,41,6.81,2,Life Sciences,Male,No,No,1,Healthcare Representative,Married,5,208333,12,1,Low,13,3,High,8,,,3,No,Service
100129,20,8,3,Marketing,Female,No,No,4,Research Director,Married,6,33333,25,2,Very Low,0,2,High,0,,0.67,4,No,Service
100130,53,6.9,1,Technical Degree,Male,Yes,No,1,Human Resources,Single,,200000,22,4,Low,15,2,High,3,8.9,0.76,4,No,Product
100131,32,8.1,2,Medical,,Yes,No,2,Human Resources,Divorced,4,125000,24,1,High,10,4,Low,0,5.2,0.46,3,Yes,Product
100132,56,6.6,1,Technical Degree,Female,Yes,No,3,Research Director,Divorced,5,83333,18,1,Very High,6,2,High,5,4.5,0.36,2,Yes,Service
100133,30,6.99,5,Medical,Male,No,Yes,1,Laboratory Technician,Married,3,33333,23,2,High,2,4,Medium,1,6.6,0.45,2,No,Product
100134,29,6.19,4,Technical Degree,Female,Yes,Yes,1,Sales Executive,Divorced,5,133333,19,2,Very High,8,1,Medium,5,3.8,0.27,3,No,Product
100135,21,6.59,3,Other,Female,No,Yes,2,Human Resources,Single,7,41667,9,4,Very High,3,1,Low,1,7.6,0.65,3,No,Product
100136,58,6.02,5,Life Sciences,Male,Yes,Yes,4,Research Director,Single,4,83333,8,3,Very Low,5,1,High,4,,,1,Yes,Service
100137,44,7.9,4,Life Sciences,Male,Yes,No,2,Manager,Married,6,166667,20,1,Very Low,11,4,High,0,5.6,0.34,3,Yes,Product
100138,29,7.38,5,Life Sciences,Male,Yes,Yes,3,Research Director,Divorced,3,41667,12,1,Low,3,1,Medium,3,5.4,0.37,1,Yes,Service
100139,52,7.79,1,Marketing,Female,Yes,Yes,3,Research Scientist,Divorced,2,308333,17,3,Low,20,1,High,3,4.9,0.25,1,No,Product
100140,43,8.49,5,Other,Male,No,No,4,Healthcare Representative,Married,5,341667,13,2,High,19,3,Medium,19,7.3,0.57,2,No,Service
100141,,8.59,1,Marketing,Male,No,Yes,4,Healthcare Representative,Married,5,50000,7,4,Very High,2,2,High,2,5.6,0.52,2,No,Service
100142,22,10.99,5,Marketing,Female,Yes,Yes,1,Manager,Divorced,4,8333,16,4,Medium,0,2,High,0,5.7,,3,No,Product
100143,55,8.39,2,Other,Male,No,Yes,1,Laboratory Technician,Single,8,83333,20,3,High,3,4,Low,0,7.8,0.75,4,No,Product
100144,32,9.29,3,Human Resources,Male,Yes,No,2,Laboratory Technician,Divorced,7,75000,20,3,Very High,4,2,Medium,3,6.7,0.55,4,No,Product
100145,22,2.01,1,Human Resources,Male,No,No,1,Human Resources,Married,4,25000,13,4,Low,1,3,High,1,6.5,0.43,1,No,Service
100146,35,7.01,5,Human Resources,Male,Yes,No,3,Manufacturing Director,Divorced,1,133333,25,2,Very High,6,1,Medium,2,1.8,0.1,0,Yes,Service
100147,50,8.13,5,Marketing,Female,No,No,3,Manager,Divorced,6,216667,18,2,High,13,3,Low,2,8.1,0.68,3,Yes,Product
100148,52,7.09,2,Marketing,Female,No,No,1,Laboratory Technician,Divorced,5,133333,17,2,Very High,5,4,Medium,3,6.9,,2,No,Product
100149,26,6.03,2,Marketing,Male,Yes,No,1,Manager,Single,7,75000,10,3,Very High,3,3,Low,2,6.4,0.56,3,No,Service
100150,24,6.97,1,Technical Degree,Female,Yes,No,2,Sales Representative,Married,8,41667,15,3,Very High,3,3,High,0,7.2,0.73,3,No,Service
100151,44,6.39,3,Other,Female,No,Yes,4,Healthcare Representative,Single,5,366667,19,4,Very High,18,1,Medium,16,8.6,0.7,2,No,Service
100152,56,7.93,2,Life Sciences,Male,No,No,4,Manufacturing Director,Divorced,5,591667,7,1,High,29,3,Medium,19,,0.58,2,No,Service
100153,29,7.99,4,Marketing,Female,No,No,2,Human Resources,Divorced,8,66667,15,1,Low,3,2,Medium,1,9.5,0.88,4,Yes,Product
100154,28,10.28,4,Marketing,Female,Yes,Yes,4,Laboratory Technician,Single,6,166667,11,3,Medium,7,1,High,1,6.8,0.63,2,No,Product
100155,24,6.37,3,Human Resources,Male,No,Yes,2,Sales Representative,Single,5,41667,9,3,Very High,3,3,Medium,2,6.5,0.62,2,No,Service
100156,25,7.91,1,Life Sciences,Female,Yes,No,4,Laboratory Technician,Single,3,116667,9,3,Very High,4,1,High,1,3.5,0.25,2,No,Service
100157,59,8.4,4,Medical,Female,No,No,2,Healthcare Representative,Single,3,416667,11,2,Very High,21,3,Low,0,4.8,0.4,2,No,Service
100158,41,7.67,1,Other,Female,No,Yes,4,Sales Executive,Divorced,8,191667,24,3,Very High,10,4,Medium,7,7.6,0.77,3,No,Product
100159,26,6.21,4,Human Resources,Female,Yes,Yes,3,Human Resources,Married,6,83333,14,4,High,4,3,Medium,3,6.2,0.58,3,No,Product
100160,58,7.67,2,Other,Male,Yes,No,3,Manufacturing Director,Married,6,16667,24,2,High,0,3,Medium,0,3.6,0.3,3,No,Product
100161,51,6.61,3,Technical Degree,Male,No,Yes,4,Manufacturing Director,Divorced,6,391667,8,4,Medium,26,2,Low,5,8,0.61,3,No,Product
100162,57,6.3,1,Human Resources,Male,Yes,Yes,2,Research Director,Divorced,5,258333,16,1,High,19,1,Medium,12,6,0.4,3,No,Service
100163,51,6.86,5,Marketing,Male,Yes,No,2,Manager,Married,3,325000,19,3,Low,17,2,High,6,3.8,0.33,1,Yes,Service
100164,55,7.78,4,Technical Degree,Female,Yes,No,4,,,2,566667,21,3,Very Low,32,3,High,0,2.4,0.06,1,No,Product
100165,27,6.99,2,Technical Degree,Female,Yes,No,1,Research Scientist,Divorced,4,25000,13,3,Very Low,1,1,High,1,4.3,0.36,1,No,Service
100166,59,6.3,4,Technical Degree,Female,Yes,No,4,Manager,Married,2,191667,7,1,Very Low,11,4,Low,8,3.7,0.28,1,No,Service
100167,19,8.59,5,Marketing,Male,Yes,Yes,2,Research Director,Married,6,1039,14,1,Very High,0,3,Low,0,,,2,No,Service
100168,28,7.5,5,Life Sciences,Male,Yes,No,1,Healthcare Representative,Divorced,5,125000,14,4,High,,1,High,5,5.6,0.37,2,,Product
100169,41,10.48,4,Other,Male,Yes,Yes,1,Human Resources,Single,1,133333,14,1,Very High,8,2,High,3,1,0.03,0,Yes,Service
100170,,7.36,3,Life Sciences,Female,Yes,No,3,Laboratory Technician,Married,5,200000,9,4,Medium,13,3,Medium,9,7.2,0.67,2,No,Product
100171,54,7.7,4,Medical,Male,Yes,Yes,1,Research Director,Divorced,3,533333,11,2,Low,29,1,Medium,11,6.7,0.46,1,No,Service
100172,60,18.02,4,Life Sciences,Male,Yes,Yes,3,Laboratory Technician,Married,2,33333,8,4,Very Low,2,4,High,0,,,1,No,Service
100173,23,8.14,5,Other,Male,Yes,No,3,Laboratory Technician,Married,8,25000,23,2,Low,1,3,High,1,7.5,0.72,3,No,Service
100174,22,8.89,1,Marketing,Female,No,Yes,4,Healthcare Representative,Divorced,6,25000,21,3,High,1,4,Medium,0,,0.69,3,No,Service
100175,30,8.14,2,Life Sciences,Male,No,No,1,Manager,Divorced,7,116667,15,2,Very High,8,2,Medium,2,7.5,0.65,4,No,Service
100176,38,10.48,2,Human Resources,Male,No,No,1,Sales Executive,Single,1,183333,19,2,Medium,8,3,Low,2,4,0.24,0,No,Product
100177,24,7.1,2,Life Sciences,Male,Yes,Yes,4,,Divorced,3,58333,9,3,High,3,4,High,1,5.3,0.41,1,No,Service
100178,25,6.25,2,Human Resources,Female,No,Yes,2,Healthcare Representative,Married,5,58333,25,3,Medium,2,4,High,2,7.5,0.68,2,No,Product
100179,59,7,1,Technical Degree,Female,Yes,No,2,Laboratory Technician,Divorced,2,525000,16,1,Medium,32,2,High,26,,0.42,1,Yes,Service
100180,37,8.31,1,Medical,Male,No,No,2,Healthcare Representative,Married,7,41667,16,2,High,2,2,High,2,7.7,0.72,4,No,Product
100181,41,7.28,2,Technical Degree,Female,Yes,Yes,2,Sales Executive,Divorced,2,216667,10,4,Medium,11,2,High,6,4.4,0.33,0,No,Service
100182,27,7.47,1,Other,Male,Yes,No,1,Healthcare Representative,Divorced,3,58333,16,2,High,2,4,High,1,,0.37,2,No,Service
100183,21,7.52,3,Human Resources,Male,Yes,Yes,2,Research Director,Married,6,25000,17,4,Very High,1,4,Low,1,,0.6,4,No,Service
