,EmployeeID,Age,AvgDailyHours,Education,EducationField,Gender,WFH Setup Available,IsIndividualContributor,JobInvolvement,JobRole,MaritalStatus,Resource Allocation,MonthlyIncome,PercentSalaryHike,PerformanceRating,RemoteWorkSatistfaction,TotalWorkingYears,WorkLifeBalance,WorkLoadLevel,YearsAtCompany,Mental Fatigue Score,Burn Rate,Designation,HasFlexibleTimings,Company Type
56,100057,45.0,7.4,2,Technical Degree,Female,Yes,No,3,Research Director,Married,4.0,100000,14,2,Very Low,5.0,3,Low,1.0,3.1,0.15,2,Yes,Product
57,100058,58.0,6.29,2,Life Sciences,Female,No,Yes,3,Sales Executive,Married,5.0,33333,17,4,Low,2.0,4,Medium,1.0,8.0,0.61,2,No,Service
58,100059,34.0,8.1,5,Medical,Female,No,Yes,3,Sales Executive,Married,2.0,133333,7,2,Medium,5.0,1,Medium,4.0,4.0,0.26,1,Yes,Product
59,100060,28.0,6.25,1,Life Sciences,Male,No,No,1,Manager,Married,2.0,91667,21,3,Very Low,4.0,1,Low,0.0,3.6,0.28,2,No,Service
60,100061,25.0,18.04,3,Technical Degree,Male,Yes,Yes,3,Research Director,Married,5.0,100000,9,3,Very Low,4.0,4,High,3.0,8.7,0.71,2,Yes,Product
63,100064,46.0,6.99,1,Medical,Male,Yes,Yes,4,Human Resources,Divorced,3.0,275000,8,4,Low,22.0,4,Low,11.0,4.9,0.39,2,Yes,Service
64,100065,40.0,7.38,1,Other,Female,No,No,2,Manager,Married,6.0,141667,23,4,High,5.0,4,Medium,1.0,7.9,0.61,3,No,Product
65,100066,28.0,10.32,5,Life Sciences,Male,No,No,4,Sales Representative,Married,6.0,16667,7,1,High,1.0,2,Medium,1.0,7.6,0.62,3,No,Product
67,100068,54.0,9.29,5,Other,Female,Yes,Yes,2,Healthcare Representative,Divorced,6.0,175000,22,3,Low,10.0,3,Medium,2.0,6.5,0.63,4,No,Service
68,100069,37.0,7.9,1,Marketing,Female,No,No,4,Research Scientist,Married,5.0,175000,15,1,High,12.0,1,High,0.0,6.8,0.6,3,No,Service
69,100070,59.0,7.08,4,Life Sciences,Male,No,Yes,3,Research Scientist,Divorced,8.0,308333,17,2,Very High,15.0,1,Medium,7.0,8.7,0.79,4,No,Product
70,100071,31.0,2.08,5,Other,Female,Yes,No,3,Research Director,Divorced,5.0,225000,23,3,Very High,8.0,4,Low,7.0,6.2,0.39,2,No,Service
71,100072,34.0,6.51,1,Life Sciences,Male,No,Yes,2,Laboratory Technician,Divorced,5.0,33333,7,1,Low,2.0,1,High,1.0,5.8,0.36,3,No,Service
72,100073,49.0,6.28,1,Technical Degree,Female,No,Yes,4,Manager,Married,4.0,75000,15,2,Low,3.0,2,Medium,3.0,6.6,0.5,2,No,Product
75,100076,59.0,9.18,2,Technical Degree,Male,No,No,1,Laboratory Technician,Single,2.0,250000,9,2,Medium,10.0,3,High,1.0,4.1,0.27,1,No,Service
76,100077,34.0,6.31,3,Human Resources,Female,No,Yes,4,Sales Executive,Married,7.0,116667,14,3,Very Low,5.0,4,High,1.0,7.4,0.66,3,No,Service
78,100079,23.0,7.9,1,Marketing,Female,Yes,No,3,Healthcare Representative,Divorced,2.0,33333,19,4,Low,0.0,3,High,0.0,4.4,0.27,1,Yes,Service
80,100081,23.0,6.73,3,Technical Degree,Male,Yes,Yes,4,Sales Representative,Single,2.0,58333,16,2,Very Low,2.0,4,Low,1.0,5.3,0.38,1,Yes,Product
81,100082,33.0,9.36,4,Life Sciences,Female,Yes,Yes,2,Research Scientist,Divorced,2.0,258333,21,1,Very High,10.0,1,Low,1.0,4.3,0.28,2,No,Service
82,100083,18.0,8.52,5,Human Resources,Female,Yes,Yes,3,Sales Executive,Divorced,1.0,16667,10,3,High,0.0,4,High,0.0,0.8,0.05,0,No,Product
83,100084,22.0,7.3,4,Life Sciences,Male,Yes,No,2,Research Director,Divorced,4.0,16667,7,2,High,1.0,3,Medium,0.0,2.9,0.22,2,Yes,Service
84,100085,52.0,18.08,5,Other,Male,Yes,No,3,Manufacturing Director,Single,3.0,216667,13,1,Very Low,8.0,1,Medium,8.0,5.0,0.39,1,No,Service
85,100086,59.0,7.59,5,Life Sciences,Female,Yes,Yes,4,Healthcare Representative,Divorced,4.0,141667,25,3,Very High,11.0,2,High,1.0,6.9,0.52,1,Yes,Service
86,100087,51.0,2.15,5,Technical Degree,Male,No,No,4,Research Director,Divorced,5.0,225000,8,2,Low,15.0,4,High,8.0,4.7,0.39,3,No,Service
87,100088,35.0,10.55,1,Human Resources,Female,No,Yes,2,Laboratory Technician,Divorced,3.0,250000,14,4,Low,10.0,3,Low,3.0,2.0,0.11,1,No,Service
88,100089,21.0,7.92,1,Other,Male,No,No,3,Research Scientist,Single,4.0,58333,23,4,Very Low,3.0,1,High,3.0,5.4,0.44,2,Yes,Service
89,100090,24.0,6.04,1,Human Resources,Female,No,No,3,Research Director,Single,5.0,83333,19,2,Very Low,3.0,4,High,2.0,6.1,0.5,2,Yes,Product
90,100091,59.0,7.77,1,Other,Female,Yes,Yes,2,Healthcare Representative,Married,4.0,6166670,13,3,Very High,37.0,3,Low,0.0,5.1,0.41,1,No,Product
93,100094,46.0,7.99,5,Medical,Male,Yes,No,4,Research Scientist,Married,5.0,83333,19,2,Very High,6.0,3,Low,6.0,4.7,0.43,3,No,Service
94,100095,48.0,10.69,1,Marketing,Female,Yes,Yes,2,Manager,Married,5.0,383333,13,4,Very High,25.0,1,High,8.0,5.4,0.46,3,No,Service
95,100096,19.0,8.14,3,Technical Degree,Female,No,Yes,1,Research Director,Married,7.0,25000,25,2,High,1.0,1,Medium,1.0,9.1,0.85,4,Yes,Service
96,100097,45.0,8.8,2,Other,Female,Yes,No,1,Research Director,Single,3.0,316667,19,3,Medium,16.0,2,Medium,1.0,5.0,0.35,1,Yes,Service
97,100098,23.0,5.97,5,Other,Male,No,No,2,Healthcare Representative,Married,1.0,58333,14,4,Medium,2.0,4,High,0.0,0.0,0.0,1,Yes,Product
98,100099,38.0,18.17,5,Life Sciences,Female,Yes,Yes,4,Healthcare Representative,Married,4.0,350000,16,4,Very High,17.0,2,Low,12.0,4.3,0.34,2,No,Product
101,100102,34.0,6.28,3,Technical Degree,Female,Yes,No,4,Research Scientist,Divorced,6.0,50000,17,2,Medium,2.0,3,Medium,0.0,6.8,0.62,4,No,Service
102,100103,46.0,9.98,3,Life Sciences,Female,No,Yes,3,Sales Executive,Single,6.0,433333,21,3,High,22.0,1,Low,8.0,7.6,0.72,3,Yes,Service
103,100104,42.0,7.22,4,Human Resources,Female,Yes,No,1,Human Resources,Married,8.0,158333,17,2,Medium,11.0,4,Medium,9.0,8.3,0.71,3,Yes,Product
104,100105,43.0,9.32,5,Human Resources,Male,No,No,1,Human Resources,Married,3.0,16667,17,2,Very Low,1.0,2,Medium,1.0,5.5,0.39,1,No,Product
106,100107,40.0,6.49,1,Technical Degree,Male,No,No,2,Laboratory Technician,Single,7.0,250000,9,1,Medium,14.0,3,Low,9.0,8.0,0.7,3,No,Service
110,100111,23.0,7.82,3,Other,Female,No,Yes,2,Manufacturing Director,Married,7.0,33333,7,3,Medium,0.0,2,High,0.0,7.6,0.56,3,No,Product
111,100112,36.0,7.3,5,Other,Female,No,No,3,Research Scientist,Married,5.0,200000,24,4,Low,12.0,4,Low,10.0,8.7,0.79,2,No,Service
112,100113,20.0,6.79,5,Marketing,Male,Yes,Yes,4,Research Director,Divorced,1.0,16667,20,4,Very Low,1.0,3,Low,1.0,2.6,0.18,0,No,Product
113,100114,42.0,7.71,1,Life Sciences,Female,Yes,Yes,4,Manager,Married,4.0,350000,9,1,Medium,18.0,2,High,1.0,4.7,0.33,2,No,Service
114,100115,54.0,7.52,2,Life Sciences,Female,Yes,No,1,Research Director,Divorced,4.0,175000,22,2,Very High,11.0,2,High,11.0,6.4,0.4,2,No,Service
116,100117,40.0,9.29,1,Medical,Female,No,No,1,Research Scientist,Married,1.0,241667,8,3,Very High,13.0,1,Low,2.0,3.3,0.23,1,Yes,Service
117,100118,41.0,8.13,5,Life Sciences,Female,Yes,Yes,2,Manufacturing Director,Single,4.0,241667,20,3,Very High,16.0,4,Medium,0.0,5.9,0.45,2,No,Product
119,100120,40.0,6.2,4,Technical Degree,Female,Yes,No,4,Research Scientist,Single,3.0,308333,10,2,High,17.0,4,Medium,9.0,7.0,0.52,1,No,Product
120,100121,38.0,8.16,3,Technical Degree,Male,No,Yes,4,Sales Representative,Divorced,7.0,208333,22,2,High,14.0,2,High,8.0,7.2,0.6,4,No,Service
121,100122,41.0,7.59,2,Medical,Female,Yes,No,3,Sales Representative,Single,7.0,258333,12,2,Very Low,17.0,3,Low,11.0,7.9,0.59,3,No,Service
123,100124,37.0,6.07,4,Life Sciences,Male,Yes,No,2,Laboratory Technician,Divorced,3.0,1070,23,4,Very High,0.0,3,High,0.0,5.9,0.36,1,Yes,Service
124,100125,31.0,10.38,3,Technical Degree,Male,No,No,3,Sales Executive,Divorced,3.0,8333,23,2,Medium,0.0,4,Low,0.0,4.4,0.29,1,Yes,Service
125,100126,52.0,10.51,5,Technical Degree,Female,Yes,No,2,Research Director,Single,5.0,308333,12,1,Very High,18.0,2,Medium,14.0,5.2,0.34,2,Yes,Service
126,100127,53.0,7.29,4,Medical,Female,Yes,No,1,Sales Executive,Married,4.0,316667,14,4,Very High,23.0,2,High,15.0,5.3,0.34,2,No,Product
131,100132,56.0,6.6,1,Technical Degree,Female,Yes,No,3,Research Director,Divorced,5.0,83333,18,1,Very High,6.0,2,High,5.0,4.5,0.36,2,Yes,Service
132,100133,30.0,6.99,5,Medical,Male,No,Yes,1,Laboratory Technician,Married,3.0,33333,23,2,High,2.0,4,Medium,1.0,6.6,0.45,2,No,Product
133,100134,29.0,6.19,4,Technical Degree,Female,Yes,Yes,1,Sales Executive,Divorced,5.0,133333,19,2,Very High,8.0,1,Medium,5.0,3.8,0.27,3,No,Product
134,100135,21.0,6.59,3,Other,Female,No,Yes,2,Human Resources,Single,7.0,41667,9,4,Very High,3.0,1,Low,1.0,7.6,0.65,3,No,Product
136,100137,44.0,7.9,4,Life Sciences,Male,Yes,No,2,Manager,Married,6.0,166667,20,1,Very Low,11.0,4,High,0.0,5.6,0.34,3,Yes,Product
137,100138,29.0,7.38,5,Life Sciences,Male,Yes,Yes,3,Research Director,Divorced,3.0,41667,12,1,Low,3.0,1,Medium,3.0,5.4,0.37,1,Yes,Service
138,100139,52.0,7.79,1,Marketing,Female,Yes,Yes,3,Research Scientist,Divorced,2.0,308333,17,3,Low,20.0,1,High,3.0,4.9,0.25,1,No,Product
139,100140,43.0,8.49,5,Other,Male,No,No,4,Healthcare Representative,Married,5.0,341667,13,2,High,19.0,3,Medium,19.0,7.3,0.57,2,No,Service
142,100143,55.0,8.39,2,Other,Male,No,Yes,1,Laboratory Technician,Single,8.0,83333,20,3,High,3.0,4,Low,0.0,7.8,0.75,4,No,Product
143,100144,32.0,9.29,3,Human Resources,Male,Yes,No,2,Laboratory Technician,Divorced,7.0,75000,20,3,Very High,4.0,2,Medium,3.0,6.7,0.55,4,No,Product
144,100145,22.0,2.01,1,Human Resources,Male,No,No,1,Human Resources,Married,4.0,25000,13,4,Low,1.0,3,High,1.0,6.5,0.43,1,No,Service
145,100146,35.0,7.01,5,Human Resources,Male,Yes,No,3,Manufacturing Director,Divorced,1.0,133333,25,2,Very High,6.0,1,Medium,2.0,1.8,0.1,0,Yes,Service
146,100147,50.0,8.13,5,Marketing,Female,No,No,3,Manager,Divorced,6.0,216667,18,2,High,13.0,3,Low,2.0,8.1,0.68,3,Yes,Product
148,100149,26.0,6.03,2,Marketing,Male,Yes,No,1,Manager,Single,7.0,75000,10,3,Very High,3.0,3,Low,2.0,6.4,0.56,3,No,Service
149,100150,24.0,6.97,1,Technical Degree,Female,Yes,No,2,Sales Representative,Married,8.0,41667,15,3,Very High,3.0,3,High,0.0,7.2,0.73,3,No,Service
150,100151,44.0,6.39,3,Other,Female,No,Yes,4,Healthcare Representative,Single,5.0,366667,19,4,Very High,18.0,1,Medium,16.0,8.6,0.7,2,No,Service
152,100153,29.0,7.99,4,Marketing,Female,No,No,2,Human Resources,Divorced,8.0,66667,15,1,Low,3.0,2,Medium,1.0,9.5,0.88,4,Yes,Product
153,100154,28.0,10.28,4,Marketing,Female,Yes,Yes,4,Laboratory Technician,Single,6.0,166667,11,3,Medium,7.0,1,High,1.0,6.8,0.63,2,No,Product
154,100155,24.0,6.37,3,Human Resources,Male,No,Yes,2,Sales Representative,Single,5.0,41667,9,3,Very High,3.0,3,Medium,2.0,6.5,0.62,2,No,Service
155,100156,25.0,7.91,1,Life Sciences,Female,Yes,No,4,Laboratory Technician,Single,3.0,116667,9,3,Very High,4.0,1,High,1.0,3.5,0.25,2,No,Service
156,100157,59.0,8.4,4,Medical,Female,No,No,2,Healthcare Representative,Single,3.0,416667,11,2,Very High,21.0,3,Low,0.0,4.8,0.4,2,No,Service
157,100158,41.0,7.67,1,Other,Female,No,Yes,4,Sales Executive,Divorced,8.0,191667,24,3,Very High,10.0,4,Medium,7.0,7.6,0.77,3,No,Product
158,100159,26.0,6.21,4,Human Resources,Female,Yes,Yes,3,Human Resources,Married,6.0,83333,14,4,High,4.0,3,Medium,3.0,6.2,0.58,3,No,Product
159,100160,58.0,7.67,2,Other,Male,Yes,No,3,Manufacturing Director,Married,6.0,16667,24,2,High,0.0,3,Medium,0.0,3.6,0.3,3,No,Product
160,100161,51.0,6.61,3,Technical Degree,Male,No,Yes,4,Manufacturing Director,Divorced,6.0,391667,8,4,Medium,26.0,2,Low,5.0,8.0,0.61,3,No,Product
161,100162,57.0,6.3,1,Human Resources,Male,Yes,Yes,2,Research Director,Divorced,5.0,258333,16,1,High,19.0,1,Medium,12.0,6.0,0.4,3,No,Service
162,100163,51.0,6.86,5,Marketing,Male,Yes,No,2,Manager,Married,3.0,325000,19,3,Low,17.0,2,High,6.0,3.8,0.33,1,Yes,Service
164,100165,27.0,6.99,2,Technical Degree,Female,Yes,No,1,Research Scientist,Divorced,4.0,25000,13,3,Very Low,1.0,1,High,1.0,4.3,0.36,1,No,Service
165,100166,59.0,6.3,4,Technical Degree,Female,Yes,No,4,Manager,Married,2.0,191667,7,1,Very Low,11.0,4,Low,8.0,3.7,0.28,1,No,Service
168,100169,41.0,10.48,4,Other,Male,Yes,Yes,1,Human Resources,Single,1.0,133333,14,1,Very High,8.0,2,High,3.0,1.0,0.03,0,Yes,Service
170,100171,54.0,7.7,4,Medical,Male,Yes,Yes,1,Research Director,Divorced,3.0,533333,11,2,Low,29.0,1,Medium,11.0,6.7,0.46,1,No,Service
172,100173,23.0,8.14,5,Other,Male,Yes,No,3,Laboratory Technician,Married,8.0,25000,23,2,Low,1.0,3,High,1.0,7.5,0.72,3,No,Service
174,100175,30.0,8.14,2,Life Sciences,Male,No,No,1,Manager,Divorced,7.0,116667,15,2,Very High,8.0,2,Medium,2.0,7.5,0.65,4,No,Service
175,100176,38.0,10.48,2,Human Resources,Male,No,No,1,Sales Executive,Single,1.0,183333,19,2,Medium,8.0,3,Low,2.0,4.0,0.24,0,No,Product
177,100178,25.0,6.25,2,Human Resources,Female,No,Yes,2,Healthcare Representative,Married,5.0,58333,25,3,Medium,2.0,4,High,2.0,7.5,0.68,2,No,Product
179,100180,37.0,8.31,1,Medical,Male,No,No,2,Healthcare Representative,Married,7.0,41667,16,2,High,2.0,2,High,2.0,7.7,0.72,4,No,Product
180,100181,41.0,7.28,2,Technical Degree,Female,Yes,Yes,2,Sales Executive,Divorced,2.0,216667,10,4,Medium,11.0,2,High,6.0,4.4,0.33,0,No,Service
183,100184,29.0,6.02,5,Life Sciences,Male,Yes,Yes,2,Sales Representative,Single,5.0,50000,25,3,Very High,2.0,1,Low,0.0,6.5,0.48,3,Yes,Service
184,100185,54.0,6.88,3,Other,Female,Yes,No,3,Sales Representative,Married,4.0,241667,20,2,Very High,14.0,4,Medium,5.0,5.5,0.48,2,No,Product
185,100186,51.0,7.21,5,Human Resources,Male,No,No,2,Manager,Married,5.0,233333,18,4,Very High,16.0,2,Medium,13.0,5.0,0.36,2,No,Service
187,100188,59.0,10.81,3,Other,Male,No,Yes,1,Research Scientist,Single,10.0,91667,8,1,Very Low,7.0,1,High,4.0,9.2,0.91,4,Yes,Product
189,100190,49.0,6.99,1,Marketing,Female,Yes,Yes,1,Healthcare Representative,Married,2.0,25000,8,1,Low,1.0,1,Low,0.0,4.1,0.24,1,No,Product
190,100191,28.0,18.03,2,Human Resources,Male,No,No,1,Human Resources,Divorced,6.0,41667,8,1,High,3.0,4,High,0.0,5.5,0.45,3,No,Service
191,100192,52.0,7.31,5,Other,Male,No,No,2,Research Scientist,Divorced,9.0,283333,17,3,Medium,21.0,1,Low,5.0,8.8,0.85,5,Yes,Service
192,100193,29.0,10.83,5,Life Sciences,Male,No,No,4,Sales Representative,Married,4.0,8333,11,4,Very High,0.0,1,Low,0.0,5.5,0.34,2,Yes,Service
193,100194,26.0,7.39,1,Other,Male,Yes,Yes,3,Manager,Single,3.0,33333,7,2,Very Low,0.0,1,Low,0.0,5.9,0.36,1,No,Product
194,100195,32.0,10.67,2,Technical Degree,Male,Yes,No,1,Healthcare Representative,Divorced,4.0,16667,15,4,High,0.0,1,Medium,0.0,4.5,0.34,2,No,Service
195,100196,52.0,8.8,5,Medical,Male,No,Yes,1,Healthcare Representative,Single,6.0,425000,10,1,High,25.0,3,High,2.0,8.0,0.59,3,Yes,Product
196,100197,45.0,7.17,1,Life Sciences,Female,Yes,Yes,2,Research Director,Divorced,4.0,200000,18,1,Very Low,15.0,2,Low,6.0,5.8,0.44,2,Yes,Service
197,100198,21.0,18.0,2,Life Sciences,Male,No,No,4,Sales Representative,Single,3.0,16667,22,3,Very High,0.0,1,Medium,0.0,4.4,0.38,1,Yes,Service
199,100200,46.0,6.1,2,Medical,Female,No,No,3,Laboratory Technician,Divorced,6.0,83333,16,4,Medium,3.0,2,Medium,1.0,7.5,0.59,3,No,Product
200,100201,54.0,7.17,4,Marketing,Female,No,Yes,3,Sales Representative,Divorced,7.0,250000,12,1,Medium,16.0,4,Medium,16.0,8.0,0.7,2,No,Service
201,100202,42.0,9.7,5,Marketing,Male,No,Yes,3,Research Director,Married,3.0,258333,20,3,Very High,18.0,3,High,0.0,6.1,0.42,2,No,Product
202,100203,57.0,6.73,1,Other,Female,Yes,Yes,4,Research Director,Married,2.0,441667,15,4,Low,25.0,4,High,15.0,5.1,0.46,1,No,Product
204,100205,25.0,7.79,2,Human Resources,Male,Yes,Yes,4,Manager,Divorced,5.0,16667,9,1,Medium,1.0,1,Low,1.0,4.7,0.39,3,No,Service
205,100206,56.0,6.01,2,Technical Degree,Female,Yes,No,2,Manager,Divorced,5.0,258333,14,3,Very Low,9.0,4,High,1.0,5.2,0.42,3,Yes,Service
206,100207,52.0,6.59,3,Human Resources,Female,Yes,Yes,3,Manufacturing Director,Married,1.0,583333,18,1,Low,31.0,4,High,22.0,0.0,0.0,0,Yes,Product
207,100208,49.0,7.06,5,Marketing,Male,Yes,No,3,Manager,Single,5.0,275000,7,1,Medium,19.0,3,High,16.0,5.1,0.46,2,No,Service
208,100209,18.0,6.11,3,Technical Degree,Female,Yes,No,3,Research Director,Divorced,2.0,16667,10,4,Medium,0.0,4,Medium,0.0,4.4,0.3,1,Yes,Product
209,100210,33.0,7.29,1,Other,Male,No,No,3,Healthcare Representative,Divorced,6.0,50000,24,3,Medium,2.0,2,Low,0.0,6.9,0.63,4,No,Product
210,100211,36.0,6.2,5,Technical Degree,Male,No,Yes,1,Manufacturing Director,Single,5.0,191667,16,3,Very Low,15.0,4,High,2.0,5.3,0.45,2,No,Service
212,100213,48.0,6.88,2,Marketing,Female,Yes,Yes,3,Research Scientist,Single,6.0,16667,24,3,Low,1.0,2,Low,0.0,6.0,0.58,3,Yes,Service
213,100214,38.0,6.59,2,Life Sciences,Male,No,No,2,Manufacturing Director,Divorced,7.0,233333,7,4,Very High,13.0,3,Low,3.0,8.6,0.67,4,Yes,Product
214,100215,41.0,7.0,5,Medical,Female,No,Yes,1,Sales Executive,Divorced,5.0,175000,10,3,High,11.0,1,High,11.0,7.3,0.71,2,No,Service
215,100216,22.0,8.01,2,Marketing,Female,Yes,Yes,1,Manufacturing Director,Divorced,3.0,16667,7,2,Medium,0.0,1,Low,0.0,5.5,0.48,1,Yes,Service
217,100218,37.0,7.22,1,Technical Degree,Male,No,Yes,3,Healthcare Representative,Married,6.0,91667,14,4,Low,4.0,1,Low,2.0,5.1,0.43,3,Yes,Product
219,100220,29.0,7.8,2,Marketing,Female,No,No,2,Manufacturing Director,Married,5.0,125000,17,1,Very High,8.0,3,Low,0.0,6.4,0.57,2,No,Service
224,100225,55.0,7.32,1,Medical,Female,Yes,No,1,Research Scientist,Divorced,5.0,500000,15,1,Very Low,28.0,4,High,9.0,5.3,0.47,3,No,Service
225,100226,48.0,8.5,4,Human Resources,Female,Yes,Yes,4,Research Scientist,Divorced,4.0,283333,20,1,High,21.0,4,Low,21.0,5.5,0.34,1,No,Product
227,100228,48.0,6.37,5,Other,Female,No,Yes,1,Healthcare Representative,Single,7.0,316667,21,1,Very Low,22.0,2,Low,13.0,7.8,0.8,3,No,Service
228,100229,40.0,7.0,4,Life Sciences,Male,No,No,2,Manager,Divorced,8.0,58333,11,3,Very High,2.0,4,Medium,0.0,8.9,0.8,4,Yes,Product
230,100231,33.0,6.96,3,Human Resources,Male,Yes,No,2,Manufacturing Director,Married,4.0,166667,10,4,High,7.0,3,Low,1.0,6.9,0.49,1,No,Service
